"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 26 18:27:19 GMT 2024","Tue Nov 26 18:27:19 GMT 2024","87","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectCanNotBeCreatedWithDuplicatedId","Project can not be created with duplicated id",""
"passed","Tue Nov 26 18:27:20 GMT 2024","Tue Nov 26 18:27:20 GMT 2024","131","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectCanNotBeCreatedWithDuplicatedName","Project can not be created with duplicated name",""
"passed","Tue Nov 26 18:27:17 GMT 2024","Tue Nov 26 18:27:18 GMT 2024","385","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Tue Nov 26 18:27:18 GMT 2024","Tue Nov 26 18:27:19 GMT 2024","458","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectCanBeCopied","Project can be copied",""
"passed","Tue Nov 26 18:27:20 GMT 2024","Tue Nov 26 18:27:20 GMT 2024","68","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectIdCanNotContainMoreThan225Characters","Project id can not contain more than 225 characters",""
"passed","Tue Nov 26 18:27:18 GMT 2024","Tue Nov 26 18:27:18 GMT 2024","214","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectAdminCanNotCreateRootProject","Project admin can't create Root project",""
"passed","Tue Nov 26 18:27:20 GMT 2024","Tue Nov 26 18:27:20 GMT 2024","128","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectCanNotBeCreatedWithEmptyId","Project can not be created with empty id",""
"passed","Tue Nov 26 18:27:18 GMT 2024","Tue Nov 26 18:27:18 GMT 2024","263","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectAdminCanCreateSubproject","Project admin can create subproject in their project",""
"passed","Tue Nov 26 18:27:13 GMT 2024","Tue Nov 26 18:27:15 GMT 2024","1962","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"unknown","Tue Nov 26 18:27:13 GMT 2024","Tue Nov 26 18:27:13 GMT 2024","5","Surefire suite","Surefire test","com.example.teamcity.api.BuildTest","com.example.teamcity.api.BuildTest","buildRunsSuccessfully","Build runs successfully",""
"passed","Tue Nov 26 18:27:20 GMT 2024","Tue Nov 26 18:27:20 GMT 2024","24","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectCanNotBeCreatedWithEmptyName","Project can not be created with empty name",""
"passed","Tue Nov 26 18:27:19 GMT 2024","Tue Nov 26 18:27:19 GMT 2024","136","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectCanBeFoundByName","Project can be found by name",""
"passed","Tue Nov 26 18:27:20 GMT 2024","Tue Nov 26 18:27:20 GMT 2024","252","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","subProjectCanBeCreated","Project can be created as a subproject",""
"passed","Tue Nov 26 18:27:20 GMT 2024","Tue Nov 26 18:27:20 GMT 2024","41","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectCanNotBeCreatedWithSpecialCharacterInId","Project can not be created with non-letter character in id",""
"passed","Tue Nov 26 18:27:21 GMT 2024","Tue Nov 26 18:27:21 GMT 2024","389","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","systemAdminCanCreateRootProject","System admin can create Root project",""
"passed","Tue Nov 26 18:26:51 GMT 2024","Tue Nov 26 18:27:02 GMT 2024","10787","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Tue Nov 26 18:27:17 GMT 2024","Tue Nov 26 18:27:17 GMT 2024","328","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Tue Nov 26 18:27:16 GMT 2024","Tue Nov 26 18:27:16 GMT 2024","743","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Tue Nov 26 18:27:19 GMT 2024","Tue Nov 26 18:27:19 GMT 2024","67","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectCanBeCreated","Project can be created",""
"passed","Tue Nov 26 18:27:20 GMT 2024","Tue Nov 26 18:27:20 GMT 2024","25","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectCanNotBeCreatedWithNonExistentParent","Project can not be created with non existent parent",""
